,raw,heuristic filter,one Euro filter
0,0.44959678065368985,0.1814206756800648,0.047977560700768536
1,0.2864967969741465,0.2894514288792043,0.06563570957823708
2,0.3513147172259816,0.3388001347759828,0.07891058862001445
3,0.41105346959769984,0.23920781500870003,0.060273171793897184
4,0.39366211351071606,0.31721323183030176,0.07094757520131365
5,0.40329212114827834,0.3195078535463996,0.07517829111188526
6,0.4640193162855633,0.276898468235668,0.06992445437593652
7,0.39956973990934486,0.3176617265778048,0.07349604440281517
8,0.41820250095163297,0.34894388273006766,0.07991463412633931
9,0.37768852488789423,0.21671626183258588,0.054516685260249054
10,0.4393047697873028,0.31888336386321964,0.0748665127038541
11,0.4206970494009325,0.29714612372123106,0.07184740393815821
12,0.424939383452416,0.2122652980095569,0.05748453097037188
13,0.46382916540056857,0.33051241853283886,0.07644406756951475
14,0.46401256231842036,0.32269138543573206,0.07415913998905467
15,0.5146687434384648,0.2716735521960536,0.06570958626380723
16,0.4825872112596416,0.33495047468781103,0.08216466948597773
17,0.49036890766734453,0.30782393342010306,0.07354110353795276
18,0.47386576031949623,0.20932212087177038,0.06042199195166213
19,0.4130395142630006,0.29233236046619077,0.06961351416736694
20,0.5299611277138112,0.3171041939907506,0.08368862301313902
21,0.6068951544089821,0.28143131173559977,0.07748424504173909
22,0.4539972628900616,0.31505666118056225,0.07583639848703301
23,0.3970883299981286,0.29292556753069177,0.07124984956278264
